artist rymrat prat reviews
Radiohead 4.23 42,062 2,205
"Pink Floyd" 4.23 35,759 1,847
"The Velvet Underground" 4.29 28,079 1,205
Radiohead 4.19 34,354 1,303
"Pink Floyd" 4.27 29,029 1,132
"King Crimson" 4.30 24,259 986
"My Bloody Valentine" 4.21 27,398 1,357
"The Beach Boys" 4.21 21,263 1,009
"The Beatles" 4.28 27,207 1,356
"The Beatles" 4.27 27,054 1,426
"Miles Davis" 4.27 18,128 665
"Led Zeppelin" 4.16 23,813 1,089
"David Bowie" 4.28 23,669 866
"Black Sabbath" 4.21 21,769 861
"Neutral Milk Hotel" 4.09 26,520 1,319
Pixies 4.16 21,598 791
"John Coltrane" 4.32 14,716 525
"Joy Division" 4.13 23,174 705
"Godspeed You Black Emperor!" 4.15 19,567 701
Radiohead 4.04 25,723 1,035
"Nick Drake" 4.20 17,901 666
"Talking Heads" 4.22 18,992 556
"Bob Dylan" 4.23 17,883 718
"The Doors" 4.15 19,839 725
"The Smiths" 4.15 20,838 729
"The Beatles" 4.17 27,543 1,373
"Pink Floyd" 4.09 21,826 781
"Arcade Fire" 4.02 25,319 1,064
Television 4.18 16,678 648
"David Bowie" 4.14 17,266 595
Nirvana 3.92 27,289 1,437
"Wu-Tang Clan" 4.18 15,665 649
Nas 4.18 15,713 717
Mingus 4.35 11,040 406
"The Beatles" 4.17 22,508 1,189
"King Crimson" 4.21 13,145 489
"Joy Division" 4.11 18,497 658
"The Clash" 4.07 19,862 908
Radiohead 3.90 28,932 1,044
"Bob Dylan" 4.19 15,142 599
"Kendrick Lamar" 4.09 16,846 405
"The Jimi Hendrix Experience" 4.17 15,505 628
"Sonic Youth" 4.08 18,082 594
"Sigur Rós" 4.05 17,741 618
Slint 4.11 17,107 614
"The Cure" 4.14 16,425 524
Madvillain 4.13 14,543 378
"Godspeed You Black Emperor!" 4.11 15,105 415
Metallica 4.01 20,293 1,102
"Kanye West" 3.98 19,898 817
"Kendrick Lamar" 4.09 16,591 403
"Led Zeppelin" 4.03 19,418 755
"DJ Shadow" 4.11 15,525 470
"Black Sabbath" 4.14 14,922 549
"Bob Dylan" 4.19 13,129 556
"The Beatles" 4.10 21,195 901
Metallica 4.05 17,455 818
"Miles Davis" 4.22 9,454 307
"Leonard Cohen" 4.18 11,127 367
"Black Sabbath" 4.10 15,695 664
Portishead 4.10 17,547 475
"Led Zeppelin" 4.01 18,756 736
"Neil Young" 4.15 12,929 468
"Miles Davis" 4.15 11,330 402
Can 4.11 14,178 562
"The Jimi Hendrix Experience" 4.17 12,606 518
"Tom Waits" 4.13 13,259 421
"Bob Dylan" 4.18 11,716 448
Yes 4.12 12,706 554
Slowdive 4.07 14,095 386
"A Tribe Called Quest" 4.09 12,517 351
"Sufjan Stevens" 4.01 16,334 524
"David Bowie" 4.10 17,350 607
"The Velvet Underground" 4.06 15,514 575
"The Stooges" 4.14 11,608 533
"Pink Floyd" 3.98 17,265 645
Love 4.08 12,755 601
Björk 4.02 15,226 369
"Frank Zappa" 4.08 11,660 455
"The Rolling Stones" 4.09 11,403 478
Radiohead 3.84 23,925 690
"The Who" 4.04 13,700 701
Nirvana 3.92 19,766 707
"Pink Floyd" 3.94 18,541 781
"The Zombies" 4.12 10,307 487
"The Velvet Underground" 4.12 14,068 463
"David Bowie" 4.08 11,837 394
"Talk Talk" 4.07 10,446 357
Genius/GZA 4.12 10,131 407
"Talk Talk" 4.08 9,955 339
Can 4.12 9,779 283
"The Beatles" 4.08 17,262 653
"Marvin Gaye" 4.08 10,732 427
Pixies 3.99 15,659 466
"Nick Drake" 4.08 11,353 356
"Kate Bush" 4.10 10,492 356
